case_id,source_path,output_glb,output_usdz,before_tris,after_tris,before_vertices,after_vertices,before_bytes,after_glb_bytes,after_usdz_bytes,before_bounds_m,after_anatomy_bounds_m,scale_factor,decimation_ratio,watertight_before,watertight_after,blender_used,usdz_status,validation_status,notes
pv-case-041,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\public\demo-cases\pv-case-041\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\models_ar_human\pv-case-041\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\models_ar_human\pv-case-041\model.usdz,61352,63020,30682,31664,117120,144924,515377,"{""min"":[-0.022668,-0.018124,-0.02508],""max"":[0.023913,0.016466,0.029127]}","{""min"":[-0.02327,-0.017272,-0.027091],""max"":[0.02327,0.017272,0.027091]}",1.0,1.0,4,8,False,ok,gltf_valid|size_ok|triangles_ok|usdz_present,palette_human; source_meter_scale_preserved; decimation_not_needed
pv-case-042,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\public\demo-cases\pv-case-042\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\models_ar_human\pv-case-042\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\models_ar_human\pv-case-042\model.usdz,63000,64672,31500,32484,119384,147052,527489,"{""min"":[-0.025863,-0.018718,-0.014239],""max"":[0.025813,0.019439,0.010577]}","{""min"":[-0.025821,-0.019064,-0.012402],""max"":[0.025821,0.019064,0.012402]}",1.0,1.0,4,8,False,ok,gltf_valid|size_ok|triangles_ok|usdz_present,palette_human; source_meter_scale_preserved; decimation_not_needed
pv-case-043,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\public\demo-cases\pv-case-043\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\models_ar_human\pv-case-043\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\models_ar_human\pv-case-043\model.usdz,58000,59414,28998,29853,113272,140408,494248,"{""min"":[-0.021136,-0.018718,-0.023156],""max"":[0.020643,0.013061,0.018844]}","{""min"":[-0.020872,-0.015871,-0.021],""max"":[0.020872,0.015871,0.021]}",1.0,1.0,3,7,False,ok,gltf_valid|size_ok|triangles_ok|usdz_present,palette_human; source_meter_scale_preserved; decimation_not_needed
pv-case-044,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\public\demo-cases\pv-case-044\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\models_ar_human\pv-case-044\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\models_ar_human\pv-case-044\model.usdz,63000,64671,31488,32472,118540,146220,526464,"{""min"":[-0.019401,-0.019297,-0.028539],""max"":[0.021001,0.017504,0.028368]}","{""min"":[-0.020187,-0.01838,-0.028447],""max"":[0.020187,0.01838,0.028447]}",1.0,1.0,4,7,False,ok,gltf_valid|size_ok|triangles_ok|usdz_present,palette_human; source_meter_scale_preserved; decimation_not_needed
pv-case-045,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\public\demo-cases\pv-case-045\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\models_ar_human\pv-case-045\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\models_ar_human\pv-case-045\model.usdz,62892,64564,31444,32428,117052,144724,518962,"{""min"":[-0.02225,-0.015708,-0.020953],""max"":[0.022264,0.015348,0.018043]}","{""min"":[-0.022242,-0.015512,-0.019498],""max"":[0.022242,0.015512,0.019498]}",1.0,1.0,4,8,False,ok,gltf_valid|size_ok|triangles_ok|usdz_present,palette_human; source_meter_scale_preserved; decimation_not_needed
pv-case-046,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\public\demo-cases\pv-case-046\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\models_ar_human\pv-case-046\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\models_ar_human\pv-case-046\model.usdz,58000,59926,29011,29997,109188,136848,492114,"{""min"":[-0.027667,-0.028019,-0.038002],""max"":[0.027232,0.025354,0.042917]}","{""min"":[-0.027432,-0.026668,-0.040451],""max"":[0.027432,0.026668,0.040451]}",1.0,1.0,2,11,False,ok,gltf_valid|size_ok|triangles_ok|usdz_present,palette_human; source_meter_scale_preserved; decimation_not_needed
pv-case-047,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\public\demo-cases\pv-case-047\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\models_ar_human\pv-case-047\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\models_ar_human\pv-case-047\model.usdz,63000,64414,31507,32357,123476,150504,536970,"{""min"":[-0.021001,-0.020299,-0.023768],""max"":[0.022017,0.018576,0.018894]}","{""min"":[-0.021495,-0.019421,-0.021315],""max"":[0.021495,0.019421,0.021315]}",1.0,1.0,3,8,False,ok,gltf_valid|size_ok|triangles_ok|usdz_present,palette_human; source_meter_scale_preserved; decimation_not_needed
pv-case-048,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\public\demo-cases\pv-case-048\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\models_ar_human\pv-case-048\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\models_ar_human\pv-case-048\model.usdz,59944,61616,29980,30964,112524,140284,496930,"{""min"":[-0.023343,-0.01608,-0.021237],""max"":[0.02355,0.01313,0.016794]}","{""min"":[-0.02343,-0.014593,-0.019005],""max"":[0.02343,0.014593,0.019005]}",1.0,1.0,4,8,False,ok,gltf_valid|size_ok|triangles_ok|usdz_present,palette_human; source_meter_scale_preserved; decimation_not_needed
pv-case-049,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\public\demo-cases\pv-case-049\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\models_ar_human\pv-case-049\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\models_ar_human\pv-case-049\model.usdz,60324,61994,30165,31143,114676,142456,502530,"{""min"":[-0.024215,-0.019444,-0.01936],""max"":[0.023086,0.016218,0.016632]}","{""min"":[-0.023633,-0.017817,-0.017995],""max"":[0.023633,0.017817,0.017995]}",1.0,1.0,3,8,False,ok,gltf_valid|size_ok|triangles_ok|usdz_present,palette_human; source_meter_scale_preserved; decimation_not_needed
pv-case-050,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\public\demo-cases\pv-case-050\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\models_ar_human\pv-case-050\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\models_ar_human\pv-case-050\model.usdz,58000,59390,29006,29841,108868,135708,481969,"{""min"":[-0.020589,-0.018165,-0.023161],""max"":[0.020144,0.017419,0.015815]}","{""min"":[-0.020352,-0.017777,-0.019486],""max"":[0.020352,0.017777,0.019486]}",1.0,1.0,2,6,False,ok,gltf_valid|size_ok|triangles_ok|usdz_present,palette_human; source_meter_scale_preserved; decimation_not_needed
pv-case-051,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\public\demo-cases\pv-case-051\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\models_ar_human\pv-case-051\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\models_ar_human\pv-case-051\model.usdz,63000,64644,31506,32478,122828,150088,535794,"{""min"":[-0.0263,-0.024915,-0.027906],""max"":[0.025161,0.026276,0.029091]}","{""min"":[-0.025714,-0.025585,-0.028498],""max"":[0.025714,0.025585,0.028498]}",1.0,1.0,4,7,False,ok,gltf_valid|size_ok|triangles_ok|usdz_present,palette_human; source_meter_scale_preserved; decimation_not_needed
